233.988, 129.276, 8.333, 28.000 False
233.155, 129.263, 8.333, 28.200 False
232.322, 129.251, 8.333, 28.400 False
231.489, 129.241, 8.333, 28.600 False
230.655, 129.231, 8.333, 28.800 False
229.822, 129.223, 8.333, 29.000 False
228.989, 129.216, 8.333, 29.200 False
228.155, 129.209, 8.333, 29.400 False
227.322, 129.207, 8.333, 29.600 False
226.489, 129.205, 8.333, 29.800 False
225.655, 129.204, 8.333, 30.000 False
224.822, 129.203, 8.333, 30.200 False
223.989, 129.204, 8.333, 30.400 False
223.155, 129.205, 8.333, 30.600 False
222.322, 129.207, 8.333, 30.800 False
221.489, 129.209, 8.333, 31.000 False
220.655, 129.212, 8.333, 31.200 False
219.822, 129.216, 8.333, 31.400 False
218.989, 129.220, 8.333, 31.600 False
218.155, 129.225, 8.333, 31.800 False
217.322, 129.230, 8.333, 32.000 False
216.489, 129.236, 8.333, 32.200 False
215.655, 129.242, 8.333, 32.400 False
214.822, 129.248, 8.333, 32.600 False
213.989, 129.255, 8.333, 32.800 False
213.156, 129.262, 8.333, 33.000 False
212.322, 129.269, 8.333, 33.200 False
211.489, 129.276, 8.333, 33.400 False
210.656, 129.284, 8.333, 33.600 False
209.822, 129.292, 8.333, 33.800 False
208.989, 129.300, 8.333, 34.000 False
208.156, 129.308, 8.333, 34.200 False
207.322, 129.316, 8.333, 34.400 False
206.489, 129.325, 8.333, 34.600 False
205.656, 129.333, 8.333, 34.800 False
204.822, 129.342, 8.333, 35.000 False
203.989, 129.350, 8.333, 35.200 False
203.156, 129.358, 8.333, 35.400 False
202.322, 129.367, 8.333, 35.600 False
201.489, 129.375, 8.333, 35.800 False
200.656, 129.384, 8.333, 36.000 False
199.822, 129.392, 8.333, 36.200 False
198.989, 129.400, 8.333, 36.400 False
198.156, 129.408, 8.333, 36.600 False
197.322, 129.416, 8.333, 36.800 False
196.489, 129.424, 8.333, 37.000 False
195.656, 129.432, 8.333, 37.200 False
194.822, 129.439, 8.333, 37.400 False
193.989, 129.447, 8.333, 37.600 False
193.156, 129.454, 8.333, 37.800 False
192.322, 129.460, 8.333, 38.000 False
191.489, 129.467, 8.333, 38.200 False
190.656, 129.474, 8.333, 38.400 False
189.823, 129.480, 8.333, 38.600 False
188.989, 129.486, 8.333, 38.800 False
188.156, 129.492, 8.333, 39.000 False
187.323, 129.497, 8.333, 39.200 False
186.492, 129.502, 8.282, 39.400 False
185.675, 129.507, 8.068, 39.600 False
184.894, 129.511, 7.653, 39.800 False
184.162, 129.515, 7.125, 40.000 False
183.485, 129.518, 6.563, 40.200 False
182.862, 129.521, 6.023, 40.400 False
182.288, 129.523, 5.571, 40.600 False
181.747, 129.525, 5.303, 40.800 False
181.223, 129.526, 5.175, 41.000 False
180.710, 129.528, 5.076, 41.200 False
180.207, 129.529, 4.988, 41.400 False
179.705, 129.530, 5.013, 41.600 False
179.198, 129.531, 5.073, 41.800 False
178.684, 129.532, 5.189, 42.000 False
178.156, 129.533, 5.317, 42.200 False
177.613, 129.534, 5.500, 42.400 False
177.047, 129.535, 5.762, 42.600 False
176.452, 129.536, 6.042, 42.800 False
175.840, 129.536, 6.147, 43.000 False
175.231, 129.537, 6.065, 43.200 False
174.635, 129.537, 5.918, 43.400 False
174.055, 129.537, 5.745, 43.600 False
173.493, 129.537, 5.574, 43.800 False
172.944, 129.537, 5.441, 44.000 False
172.406, 129.537, 5.338, 44.200 False
171.876, 129.532, 5.294, 44.400 False
171.342, 129.529, 5.362, 44.600 False
170.794, 129.526, 5.568, 44.800 False
170.213, 129.527, 5.933, 45.000 False
169.598, 129.526, 6.244, 45.200 False
168.965, 129.524, 6.366, 45.400 False
168.332, 129.520, 6.310, 45.600 False
167.712, 129.517, 6.170, 45.800 False
167.106, 129.514, 6.006, 46.000 False
166.517, 129.511, 5.844, 46.200 False
165.942, 129.509, 5.704, 46.400 False
165.380, 129.507, 5.578, 46.600 False
164.828, 129.504, 5.474, 46.800 False
164.285, 129.502, 5.418, 47.000 False
163.741, 129.500, 5.450, 47.200 False
163.184, 129.498, 5.643, 47.400 False
162.598, 129.496, 5.982, 47.600 False
161.980, 129.494, 6.268, 47.800 False
161.344, 129.492, 6.394, 48.000 False
160.708, 129.490, 6.342, 48.200 False
160.084, 129.488, 6.207, 48.400 False
159.475, 129.486, 6.045, 48.600 False
158.881, 129.484, 5.883, 48.800 False
158.303, 129.483, 5.729, 49.000 False
157.739, 129.481, 5.590, 49.200 False
157.187, 129.480, 5.474, 49.400 False
156.644, 129.479, 5.413, 49.600 False
156.100, 129.478, 5.461, 49.800 False
155.543, 129.477, 5.633, 50.000 False
154.959, 129.476, 5.971, 50.200 False
154.338, 129.474, 6.314, 50.400 False
153.696, 129.473, 6.460, 50.600 False
